sex,year,age,qx,lx,lx/l0,dx,ex
M,2050,0,0.002333769,100000,1,233.376944,91.19232894
M,2051,1,0.000216141,99766.62306,0.997666231,21.56367466,90.40447904
M,2052,2,9.88384E-05,99745.05938,0.997450594,9.858639306,89.4239153
M,2053,3,5.21041E-05,99735.20074,0.997352007,5.196615341,88.43270526
M,2054,4,4.49692E-05,99730.00413,0.997300041,4.484777304,87.43728716
M,2055,5,4.27027E-05,99725.51935,0.997255193,4.258545606,86.44119683
M,2056,6,4.04926E-05,99721.2608,0.997212608,4.037971186,85.44486691
M,2057,7,3.8322E-05,99717.22283,0.997172228,3.821363628,84.44830668
M,2058,8,3.48318E-05,99713.40147,0.997134015,3.473196585,83.45152387
M,2059,9,3.00316E-05,99709.92827,0.997099283,2.994449855,82.45441332
M,2060,10,3.12397E-05,99706.93382,0.997069338,3.114812079,81.45687462
M,2061,11,3.44307E-05,99703.81901,0.99703819,3.432873066,80.45940377
M,2062,12,3.95708E-05,99700.38614,0.997003861,3.945222933,79.46215692
M,2063,13,4.46585E-05,99696.44091,0.996964409,4.452293324,78.46528164
M,2064,14,5.29588E-05,99691.98862,0.996919886,5.279563906,77.46876361
M,2065,15,6.43965E-05,99686.70906,0.996867091,6.419476033,76.47283999
M,2066,16,7.95704E-05,99680.28958,0.996802896,7.931596678,75.47773269
M,2067,17,9.83383E-05,99672.35798,0.99672358,9.801614989,74.48369917
M,2068,18,0.000117342,99662.55637,0.996625564,11.69455683,73.49097532
M,2069,19,0.000137526,99650.86181,0.996508618,13.70459442,72.4995412
M,2070,20,0.000154414,99637.15722,0.996371572,15.38537074,71.50944438
M,2071,21,0.000164799,99621.77185,0.996217718,16.41760809,70.52041092
M,2072,22,0.000171526,99605.35424,0.996053542,17.08493639,69.53195215
M,2073,23,0.000177101,99588.2693,0.995882693,17.63713802,68.54379497
M,2074,24,0.000181814,99570.63217,0.995706322,18.10330718,67.5558477
M,2075,25,0.000186825,99552.52886,0.995525289,18.59894043,66.56804159
M,2076,26,0.000195527,99533.92992,0.995339299,19.4615493,65.58038709
M,2077,27,0.000208529,99514.46837,0.995144684,20.75170131,64.59311453
M,2078,28,0.000222816,99493.71667,0.994937167,22.16875712,63.60648262
M,2079,29,0.000241136,99471.54791,0.994715479,23.98614648,62.62054687
M,2080,30,0.000261293,99447.56176,0.994475618,25.98494386,61.63552997
M,2081,31,0.000283339,99421.57682,0.994215768,28.16997185,60.65150842
M,2082,32,0.000307672,99393.40685,0.993934068,30.58053919,59.6685565
M,2083,33,0.00033515,99362.82631,0.993628263,33.30146497,58.68676659
M,2084,34,0.000364029,99329.52484,0.993295248,36.15878381,57.70627443
M,2085,35,0.000398855,99293.36606,0.992933661,39.60362254,56.72710674
M,2086,36,0.000437834,99253.76244,0.992537624,43.45670718,55.74954213
M,2087,37,0.000479843,99210.30573,0.992103057,47.60534935,54.77374287
M,2088,38,0.000525342,99162.70038,0.991627004,52.09428418,53.79979824
M,2089,39,0.000574997,99110.6061,0.991106061,56.98834866,52.82781355
M,2090,40,0.000626046,99053.61775,0.990536177,62.01215806,51.85791922
M,2091,41,0.00067952,98991.60559,0.989916056,67.26675869,50.89009181
M,2092,42,0.000732091,98924.33883,0.989243388,72.42158788,49.92435615
M,2093,43,0.00078611,98851.91724,0.988519172,77.70844618,48.96056577
M,2094,44,0.000839243,98774.2088,0.987742088,82.89552451,47.99869106
M,2095,45,0.00089229,98691.31327,0.986913133,88.06122634,47.03858747
M,2096,46,0.000944284,98603.25205,0.98603252,93.10948438,46.08015045
M,2097,47,0.000995057,98510.14256,0.985101426,98.02316021,45.12323175
M,2098,48,0.001045284,98412.1194,0.984121194,102.8685703,44.16767861
M,2099,49,0.001095403,98309.25083,0.983092508,107.688265,43.21337148
M,2100,50,0.001147153,98201.56257,0.982015626,112.6521796,42.26021115
M,2101,51,0.001203282,98088.91039,0.980889104,118.0286291,41.3081715
M,2102,52,0.001266569,97970.88176,0.979708818,124.0868544,40.3573344
M,2103,53,0.001341482,97846.7949,0.978467949,131.259743,39.40788048
M,2104,54,0.00143434,97715.53516,0.977155352,140.1572531,38.46014482
M,2105,55,0.001548979,97575.37791,0.975753779,151.1422567,37.51467076
M,2106,56,0.001687306,97424.23565,0.974242357,164.3844667,36.57209468
M,2107,57,0.001846184,97259.85118,0.972598512,179.5595584,35.6330622
M,2108,58,0.002024781,97080.29163,0.970802916,196.5662893,34.69804426
M,2109,59,0.002216371,96883.72534,0.968837253,214.7302642,33.76742828
M,2110,60,0.002416253,96668.99507,0.966689951,233.5767507,32.84132502
M,2111,61,0.002622374,96435.41832,0.964354183,252.8897097,31.91965912
M,2112,62,0.002838118,96182.52861,0.961825286,272.9773284,31.00226985
M,2113,63,0.003065441,95909.55128,0.959095513,294.005061,30.08908527
M,2114,64,0.003306865,95615.54622,0.956155462,316.1876808,29.18006776
M,2115,65,0.003566478,95299.35854,0.952993585,339.8830327,28.27522353
M,2116,66,0.003849682,94959.47551,0.949594755,365.5637596,27.37463781
M,2117,67,0.004161111,94593.91175,0.945939117,393.6157872,26.47849643
M,2118,68,0.004505167,94200.29596,0.94200296,424.3880259,25.58704754
M,2119,69,0.004888893,93775.90794,0.937759079,458.4603783,24.70058035
M,2120,70,0.005318135,93317.44756,0.933174476,496.2747538,23.81947566
M,2121,71,0.005801554,92821.1728,0.928211728,538.5070365,22.94415484
M,2122,72,0.00634644,92282.66577,0.922826658,585.6663879,22.07512565
M,2123,73,0.006960912,91696.99938,0.916969994,638.2947084,21.21292542
M,2124,74,0.007654874,91058.70467,0.910587047,697.0429371,20.35811693
M,2125,75,0.008434797,90361.66173,0.903616617,762.1822306,19.51130092
M,2126,76,0.009302738,89599.4795,0.895994795,833.5204561,18.67302146
M,2127,77,0.010264918,88765.95905,0.88765959,911.1753212,17.84366779
M,2128,78,0.011337074,87854.78373,0.878547837,996.0161451,17.02354555
M,2129,79,0.012540543,86858.76758,0.868587676,1089.256105,16.21302231
M,2130,80,0.013911686,85769.51148,0.857695115,1193.198548,15.41257464
M,2131,81,0.015496464,84576.31293,0.845763129,1310.63381,14.62296052
M,2132,82,0.017325666,83265.67912,0.832656791,1442.633358,13.84526135
M,2133,83,0.019416139,81823.04576,0.818230458,1588.687612,13.08055349
M,2134,84,0.021786496,80234.35815,0.802343581,1748.025542,12.32965587
M,2135,85,0.024455276,78486.33261,0.784863326,1919.40492,11.59312264
M,2136,86,0.027430225,76566.92768,0.765669277,2100.248082,10.87120869
M,2137,87,0.030724714,74466.6796,0.744666796,2287.967411,10.16371684
M,2138,88,0.034373446,72178.71219,0.721787122,2481.03104,9.470043576
M,2139,89,0.038423312,69697.68115,0.696976812,2678.015769,8.789350563
M,2140,90,0.043463002,67019.66538,0.670196654,2912.875851,8.120581872
M,2141,91,0.050927404,64106.78953,0.641067895,3264.792342,7.466844867
M,2142,92,0.060174078,60841.99719,0.608419972,3661.111085,6.840686996
M,2143,93,0.070971478,57180.88611,0.571808861,4058.212009,6.246661108
M,2144,94,0.083484228,53122.6741,0.531226741,4434.905455,5.685667041
M,2145,95,0.097836058,48687.76864,0.486877686,4763.419367,5.1580227
M,2146,96,0.114412109,43924.34927,0.439243493,5025.477457,4.663166565
M,2147,97,0.133851839,38898.87182,0.388988718,5206.68554,4.201020203
M,2148,98,0.156455057,33692.18628,0.336921863,5271.312929,3.772964339
M,2149,99,0.182168031,28420.87335,0.284208733,5177.374528,3.380011808
M,2150,100,0.210969512,23243.49882,0.232434988,4903.669592,3.021520209
F,2050,0,0.001913013,100000,1,191.3012722,93.31372707
F,2051,1,0.000189512,99808.69873,0.998086987,18.91496864,92.49162123
F,2052,2,8.84861E-05,99789.78376,0.997897838,8.830012199,91.50905807
F,2053,3,4.74584E-05,99780.95375,0.997809537,4.735444542,90.51711182
F,2054,4,4.0723E-05,99776.2183,0.997762183,4.063189043,89.52138409
F,2055,5,3.83816E-05,99772.15511,0.997721551,3.829416031,88.52500946
F,2056,6,3.46747E-05,99768.3257,0.997683257,3.459436471,87.52838813
F,2057,7,3.10117E-05,99764.86626,0.997648663,3.093882369,86.53140592
F,2058,8,2.87972E-05,99761.77238,0.997617724,2.872861044,85.53407398
F,2059,9,2.80014E-05,99758.89952,0.997588995,2.793385035,84.5365228
F,2060,10,2.72073E-05,99756.10613,0.997561061,2.714094098,83.538876
F,2061,11,2.91947E-05,99753.39204,0.99753392,2.912267736,82.54113533
F,2062,12,3.46083E-05,99750.47977,0.997504798,3.452191599,81.54353056
F,2063,13,4.06781E-05,99747.02758,0.997470276,4.057520221,80.54633543
F,2064,14,4.73957E-05,99742.97006,0.997429701,4.727390004,79.5495917
F,2065,15,5.40516E-05,99738.24267,0.997382427,5.391010067,78.55333849
F,2066,16,6.13356E-05,99732.85166,0.997328517,6.117176493,77.55755762
F,2067,17,6.91749E-05,99726.73448,0.997267345,6.898590237,76.56228429
F,2068,18,7.54716E-05,99719.83589,0.997198359,7.526019259,75.56754625
F,2069,19,8.1389E-05,99712.30987,0.997123099,8.115487595,74.57321215
F,2070,20,8.56418E-05,99704.19439,0.997041944,8.538846424,73.57924139
F,2071,21,8.74105E-05,99695.65554,0.996956555,8.71444834,72.58550056
F,2072,22,8.85406E-05,99686.94109,0.996869411,8.826339351,71.59180215
F,2073,23,9.08118E-05,99678.11475,0.996781148,9.051953215,70.59809721
F,2074,24,9.4523E-05,99669.0628,0.996690628,9.421017018,69.60446353
F,2075,25,0.000100968,99659.64178,0.996596418,10.06243211,68.6109961
F,2076,26,0.000110573,99649.57935,0.996495793,11.01859378,67.61787383
F,2077,27,0.00012261,99638.56075,0.996385608,12.21672712,66.6252961
F,2078,28,0.00013711,99626.34403,0.99626344,13.65972699,65.63340475
F,2079,29,0.000151536,99612.6843,0.996126843,15.09494672,64.64233639
F,2080,30,0.000168443,99597.58935,0.995975894,16.77652002,63.65205776
F,2081,31,0.000184893,99580.81283,0.995808128,18.41174683,62.66269707
F,2082,32,0.000200738,99562.40109,0.995624011,19.98596704,61.67419262
F,2083,33,0.000215879,99542.41512,0.995424151,21.48913057,60.68647507
F,2084,34,0.000232888,99520.92599,0.99520926,23.17724771,59.69947088
F,2085,35,0.000251758,99497.74874,0.994977487,25.04930989,58.71326095
F,2086,36,0.000274194,99472.69943,0.994726994,27.27477088,57.72792027
F,2087,37,0.00029839,99445.42466,0.994454247,29.67355189,56.7436161
F,2088,38,0.000323918,99415.75111,0.994157511,32.20255229,55.76040366
F,2089,39,0.00035009,99383.54856,0.993835486,34.79317282,54.7783093
F,2090,40,0.000377324,99348.75538,0.993487554,37.48666544,53.79731824
F,2091,41,0.000402723,99311.26872,0.993112687,39.99495072,52.81743619
F,2092,42,0.000429297,99271.27377,0.992712738,42.6168816,51.83851412
F,2093,43,0.000455184,99228.65689,0.992286569,45.16730109,50.86056307
F,2094,44,0.000484837,99183.48959,0.991834896,48.08782167,49.88349683
F,2095,45,0.000516209,99135.40176,0.991354018,51.1745628,48.90745139
F,2096,46,0.000551682,99084.2272,0.990842272,54.66293646,47.93245264
F,2097,47,0.000590757,99029.56426,0.990295643,58.50240446,46.9586347
F,2098,48,0.00063223,98971.06186,0.989710619,62.57248613,45.98609668
F,2099,49,0.000676596,98908.48937,0.989084894,66.92109608,45.01487255
F,2100,50,0.000727656,98841.56828,0.988415683,71.92270429,44.04501153
F,2101,51,0.00078237,98769.64557,0.987696456,77.27443281,43.07672042
F,2102,52,0.000843263,98692.37114,0.986923711,83.22363088,42.11005726
F,2103,53,0.000910991,98609.14751,0.986091475,89.83200085,41.14517509
F,2104,54,0.000987911,98519.31551,0.985193155,97.32827616,40.18223623
F,2105,55,0.001071656,98421.98723,0.984219872,105.4744948,39.2214775
F,2106,56,0.001165664,98316.51274,0.983165127,114.6040037,38.26301811
F,2107,57,0.001266845,98201.90873,0.982019087,124.4066318,37.30708847
F,2108,58,0.001379026,98077.5021,0.980775021,135.2513916,36.3537765
F,2109,59,0.00149981,97942.25071,0.979422507,146.8947571,35.40328806
F,2110,60,0.001623832,97795.35595,0.97795356,158.8032737,34.45571498
F,2111,61,0.00175255,97636.55268,0.976365527,171.1129645,33.51094306
F,2112,62,0.00188884,97465.43972,0.974654397,184.0965766,32.56889796
F,2113,63,0.002035043,97281.34314,0.972813431,197.9717216,31.62958559
F,2114,64,0.00219431,97083.37142,0.970833714,213.0309728,30.69306482
F,2115,65,0.002368811,96870.34044,0.968703404,229.4674874,29.75946346
F,2116,66,0.002564213,96640.87296,0.96640873,247.8078301,28.82893815
F,2117,67,0.002784534,96393.06513,0.963930651,268.4097271,27.90176635
F,2118,68,0.003030631,96124.6554,0.961246554,291.3183817,26.97828054
F,2119,69,0.003305826,95833.33702,0.95833337,316.8083362,26.05877038
F,2120,70,0.003617126,95516.52868,0.955165287,345.495355,25.14354347
F,2121,71,0.003970441,95171.03333,0.951710333,377.8709636,24.23300588
F,2122,72,0.004372122,94793.16236,0.947931624,414.447229,23.32761201
F,2123,73,0.004829229,94378.71513,0.943787151,455.7764715,22.42785538
F,2124,74,0.005348591,93922.93866,0.939229387,502.3553383,21.53426389
F,2125,75,0.005933638,93420.58332,0.934205833,554.3239525,20.64737253
F,2126,76,0.006591845,92866.25937,0.928662594,612.1599759,19.76763333
F,2127,77,0.007336599,92254.0994,0.922540994,676.8313192,18.89548537
F,2128,78,0.008183684,91577.26808,0.915772681,749.4394106,18.03144313
F,2129,79,0.009153669,90827.82867,0.908278287,831.4079038,17.17609873
F,2130,80,0.010268053,89996.42076,0.899964208,924.0880571,16.33015642
F,2131,81,0.011554475,89072.33271,0.890723327,1029.184022,15.49438765
F,2132,82,0.013049155,88043.14868,0.880431487,1148.888711,14.66966516
F,2133,83,0.01478684,86894.25997,0.8689426,1284.891554,13.85701204
F,2134,84,0.016798718,85609.36842,0.856093684,1438.12767,13.0574844
F,2135,85,0.019113497,84171.24075,0.841712407,1608.806718,12.27203827
F,2136,86,0.021759455,82562.43403,0.82562434,1796.513589,11.50142751
F,2137,87,0.024770235,80765.92044,0.807659204,2000.590821,10.74613733
F,2138,88,0.028180876,78765.32962,0.787653296,2219.675972,10.00638291
F,2139,89,0.032025584,76545.65365,0.765456536,2451.419226,9.282049633
F,2140,90,0.036798138,74094.23442,0.740942344,2726.529857,8.572605106
F,2141,91,0.043731248,71367.70457,0.713677046,3120.998767,7.881010694
F,2142,92,0.052315742,68246.7058,0.682467058,3570.377075,7.218552631
F,2143,93,0.062359658,64676.32872,0.646763287,4033.193708,6.589442054
F,2144,94,0.074004339,60643.13502,0.60643135,4487.855134,5.99443265
F,2145,95,0.087489977,56155.27988,0.561552799,4913.024148,5.433540385
F,2146,96,0.103315949,51242.25573,0.512422557,5294.142274,4.906560215
F,2147,97,0.122023352,45948.11346,0.459481135,5606.742817,4.414284144
F,2148,98,0.143860329,40341.37064,0.403413706,5803.522864,3.958300972
F,2149,99,0.168868594,34537.84778,0.345378478,5832.357803,3.539412132
F,2150,100,0.197175001,28705.48998,0.2870549,5660.005001,3.156957384
